ANO_ELEICAO,NUM_TURNO,UF,COD_MUN_IBGE,NOME_MUNICIPIO,SIGLA_PARTIDO,QTDE_VOTOS
2012,1,AC,1200013,Acrelândia,DEM,2521
2012,1,AC,1200344,Manoel Urbano,DEM,1876
2012,1,AC,1200179,Capixaba,PC do B,2007
2012,1,AC,1200328,Jordão,PC do B,1585
2012,1,AC,1200104,Brasiléia,PMDB,6090
2012,1,AC,1200203,Cruzeiro do Sul,PMDB,18840
2012,1,AC,1200328,Jordão,PMDB,1178
2012,1,AC,1200336,Mâncio Lima,PMDB,3149
2012,1,AC,1200393,Porto Walter,PMDB,2818
2012,1,AC,1200401,Rio Branco,PMDB,8333
2012,1,AC,1200427,Rodrigues Alves,PMDB,2220
2012,1,AC,1200500,Sena Madureira,PMDB,3104
2012,1,AC,1200807,Porto Acre,PMDB,1760
2012,1,AC,1200179,Capixaba,PMN,162
2012,1,AC,1200401,Rio Branco,PMN,1100
2012,1,AC,1200450,Senador Guiomard,PMN,1861
2012,1,AC,1200013,Acrelândia,PP,704
2012,1,AC,1200138,Bujari,PP,1478
2012,1,AC,1200179,Capixaba,PP,1401
2012,1,AC,1200302,Feijó,PP,3435
2012,1,AC,1200336,Mâncio Lima,PP,2185
2012,1,AC,1200427,Rodrigues Alves,PP,2719
2012,1,AC,1200351,Marechal Thaumaturgo,PPS,563
2012,1,AC,1200500,Sena Madureira,PR,9413
2012,1,AC,1200344,Manoel Urbano,PRP,1230
2012,1,AC,1200138,Bujari,PSB,1347
2012,1,AC,1200252,Epitaciolândia,PSB,2016
2012,1,AC,1200344,Manoel Urbano,PSB,1547
2012,1,AC,1200385,Plácido de Castro,PSB,5772
2012,1,AC,1200708,Xapuri,PSB,783
2012,1,AC,1200138,Bujari,PSC,492
2012,1,AC,1200401,Rio Branco,PSC,3390
2012,1,AC,1200013,Acrelândia,PSD,382
2012,1,AC,1200252,Epitaciolândia,PSD,359
2012,1,AC,1200609,Tarauacá,PSD,7890
2012,1,AC,1200054,Assis Brasil,PSDB,2527
2012,1,AC,1200104,Brasiléia,PSDB,845
2012,1,AC,1200138,Bujari,PSDB,356
2012,1,AC,1200179,Capixaba,PSDB,1058
2012,1,AC,1200252,Epitaciolândia,PSDB,3180
