"","UF","COD_MUN_IBGE","SIGLA_PARTIDO","QTDE_VOTOS_2000","vote_pct_2000","rank_2000","win_margin_2000","Incumbent_2000","vote_pct_2004","NOME","POP_201","IDHM_10","PIB_PER"
"1","RO",1100015,"PPB",5452,0.409463011641006,1,0.0239579421704844,1,NA,"ALTA FLORESTA D OESTE",24069,0.641,13744
"2","RO",1100015,"PTB",5133,0.385505069470522,2,-0.0239579421704844,0,NA,"ALTA FLORESTA D OESTE",24069,0.641,13744
"3","RO",1100015,"PT",1655,0.124295906871949,3,-0.285167104769057,0,NA,"ALTA FLORESTA D OESTE",24069,0.641,13744
"4","RO",1100015,"PMDB",1075,0.0807360120165227,4,-0.328726999624484,0,NA,"ALTA FLORESTA D OESTE",24069,0.641,13744
"5","RO",1100023,"PPB",16898,0.504432968148303,1,0.289232514403415,1,NA,"ARIQUEMES",92747,0.702,14315
"6","RO",1100023,"PTB",7209,0.215200453744888,2,-0.289232514403415,0,0.438640747885443,"ARIQUEMES",92747,0.702,14315
"7","RO",1100023,"PT",3581,0.10689871339443,3,-0.397534254753873,0,NA,"ARIQUEMES",92747,0.702,14315
"8","RO",1100023,"PPS",3392,0.101256753932953,4,-0.40317621421535,0,NA,"ARIQUEMES",92747,0.702,14315
"9","RO",1100023,"PFL",2419,0.0722111107794263,5,-0.432221857368877,0,NA,"ARIQUEMES",92747,0.702,14315
"10","RO",1100031,"PFL",2176,0.549078980570275,1,0.22735301539238,1,NA,"CABIXI",6132,0.65,15755
"11","RO",1100031,"PDT",1275,0.321725965177896,2,-0.22735301539238,0,0.529748908296943,"CABIXI",6132,0.65,15755
"12","RO",1100031,"PT",512,0.129195054251829,3,-0.419883926318446,0,0.470251091703057,"CABIXI",6132,0.65,15755
"13","RO",1100049,"PMDB",16686,0.520331794935762,1,0.266153174504179,1,0.607222881244234,"CACOAL",79330,0.718,14865
"14","RO",1100049,"PT",8151,0.254178620431583,2,-0.266153174504179,0,NA,"CACOAL",79330,0.718,14865
"15","RO",1100049,"PPS",7231,0.225489584632656,3,-0.294842210303106,0,NA,"CACOAL",79330,0.718,14865
"16","RO",1100056,"PTB",2440,0.238864415075869,1,0.0309348996573666,1,NA,"CEREJEIRAS",16852,0.692,15997
"17","RO",1100056,"PDT",2124,0.207929515418502,2,-0.0309348996573666,0,NA,"CEREJEIRAS",16852,0.692,15997
"18","RO",1100056,"PT",1948,0.190699951052374,3,-0.0481644640234948,0,NA,"CEREJEIRAS",16852,0.692,15997
"19","RO",1100056,"PMDB",1764,0.172687224669604,4,-0.0661771904062653,0,NA,"CEREJEIRAS",16852,0.692,15997
"20","RO",1100056,"PFL",1440,0.140969162995595,5,-0.0978952520802741,0,0.294836541399328,"CEREJEIRAS",16852,0.692,15997
"21","RO",1100056,"PL",499,0.0488497307880568,6,-0.190014684287812,0,NA,"CEREJEIRAS",16852,0.692,15997
"22","RO",1100064,"PDT",4179,0.384169884169884,1,0.108567751424894,1,NA,"COLORADO DO OESTE",18093,0.685,12159
"23","RO",1100064,"PT",2998,0.27560213274499,2,-0.108567751424894,0,NA,"COLORADO DO OESTE",18093,0.685,12159
"24","RO",1100064,"PPB",2203,0.202518845375988,3,-0.181651038793896,0,NA,"COLORADO DO OESTE",18093,0.685,12159
"25","RO",1100064,"PSDB",1430,0.131457988600846,4,-0.252711895569038,0,NA,"COLORADO DO OESTE",18093,0.685,12159
"26","RO",1100064,"PSB",68,0.00625114910829196,5,-0.377918735061592,0,NA,"COLORADO DO OESTE",18093,0.685,12159
"27","RO",1100072,"PMDB",2429,0.586431675519073,1,0.172863351038146,1,NA,"CORUMBIARA",8530,0.613,22160
"28","RO",1100072,"PT",1713,0.413568324480927,2,-0.172863351038146,0,0.275337475894579,"CORUMBIARA",8530,0.613,22160
"29","RO",1100080,"PFL",2205,0.532994923857868,1,0.0659898477157361,1,NA,"COSTA MARQUES",14355,0.611,9884
"30","RO",1100080,"PPB",1932,0.467005076142132,2,-0.0659898477157361,0,NA,"COSTA MARQUES",14355,0.611,9884
"31","RO",1100098,"PTB",4862,0.384226331594753,1,0.0372214319582741,1,0.380213254150358,"ESPIGAO D OESTE",29189,0.672,12759
"32","RO",1100098,"PT do B",4391,0.347004899636479,2,-0.0372214319582741,0,NA,"ESPIGAO D OESTE",29189,0.672,12759
"33","RO",1100098,"PL",3401,0.268768768768769,3,-0.115457562825984,0,NA,"ESPIGAO D OESTE",29189,0.672,12759
"34","RO",1100106,"PMDB",6870,0.409880078754251,1,0.141399677823519,1,0.315839593693789,"GUAJARA MIRIM",42202,0.657,15611
"35","RO",1100106,"PSDB",4500,0.268480400930732,2,-0.141399677823519,0,0.236218389588403,"GUAJARA MIRIM",42202,0.657,15611
"36","RO",1100106,"PDT",2998,0.178867609331185,3,-0.231012469423065,0,0.24828060522696,"GUAJARA MIRIM",42202,0.657,15611
"37","RO",1100106,"PT",2393,0.142771910983832,4,-0.267108167770419,0,0.199661411490848,"GUAJARA MIRIM",42202,0.657,15611
"38","RO",1100114,"PMDB",15107,0.565805243445693,1,0.27936329588015,1,0.478489903424056,"JARU",51765,0.689,15266
"39","RO",1100114,"PFL",7648,0.286441947565543,2,-0.27936329588015,0,NA,"JARU",51765,0.689,15266
"40","RO",1100114,"PT",3945,0.147752808988764,3,-0.418052434456929,0,0.0955575065847234,"JARU",51765,0.689,15266
"41","RO",1100122,"PDT",21966,0.470132482931319,1,0.196284485157203,1,NA,"JI PARANA",118092,0.714,14465
"42","RO",1100122,"PFL",12795,0.273847997774116,2,-0.196284485157203,0,0.355071795911596,"JI PARANA",118092,0.714,14465
"43","RO",1100122,"PMDB",11962,0.256019519294566,3,-0.214112963636753,0,0.079427107334427,"JI PARANA",118092,0.714,14465
"44","RO",1100130,"PFL",5119,0.538842105263158,1,0.177157894736842,1,NA,"MACHADINHO D OESTE",32403,0.596,10235
"45","RO",1100130,"PMDB",3436,0.361684210526316,2,-0.177157894736842,0,NA,"MACHADINHO D OESTE",32403,0.596,10235
"46","RO",1100130,"PSDB",945,0.0994736842105263,3,-0.439368421052632,0,NA,"MACHADINHO D OESTE",32403,0.596,10235
"47","RO",1100148,"PTB",6895,0.75636243966652,1,0.619240895129443,1,0.488987207848418,"NOVA BRASILANDIA D OESTE",19891,0.643,9792
"48","RO",1100148,"PFL",1250,0.137121544537078,2,-0.619240895129443,0,NA,"NOVA BRASILANDIA D OESTE",19891,0.643,9792
"49","RO",1100148,"PT",971,0.106516015796402,3,-0.649846423870118,0,NA,"NOVA BRASILANDIA D OESTE",19891,0.643,9792
"50","RO",1100155,"PFL",10918,0.557382070655503,1,0.310955687155401,1,NA,"OURO PRETO DO OESTE",37482,0.682,12450
"51","RO",1100155,"PMDB",4827,0.246426383500102,2,-0.310955687155401,0,0.253882132834425,"OURO PRETO DO OESTE",37482,0.682,12450
"52","RO",1100155,"PT",3843,0.196191545844395,3,-0.361190524811109,0,0.298971000935454,"OURO PRETO DO OESTE",37482,0.682,12450
"53","RO",1100189,"PSB",8774,0.54605426935524,1,0.238424197162061,1,NA,"PIMENTA BUENO",34135,0.71,20394
"54","RO",1100189,"PDT",4943,0.307630072193179,2,-0.238424197162061,0,NA,"PIMENTA BUENO",34135,0.71,20394
"55","RO",1100189,"PPB",2351,0.146315658451581,3,-0.399738610903659,0,NA,"PIMENTA BUENO",34135,0.71,20394
"56","RO",1100205,"PDT",60558,0.423698811281283,1,0.0675169841947288,1,NA,"PORTO VELHO",442701,0.736,17636
"57","RO",1100205,"PSB",50908,0.356181827086555,2,-0.0675169841947288,0,0.308393851436058,"PORTO VELHO",442701,0.736,17636
"58","RO",1100205,"PSDB",22287,0.155932748885795,3,-0.267766062395489,0,0.157108006460284,"PORTO VELHO",442701,0.736,17636
"59","RO",1100205,"PSL",9108,0.0637248385539471,4,-0.359973972727336,0,NA,"PORTO VELHO",442701,0.736,17636
"60","RO",1100205,"PRTB",66,0.000461774192419907,5,-0.423237037088864,0,NA,"PORTO VELHO",442701,0.736,17636
"61","RO",1100254,"PMDB",6297,0.473957549300015,1,0.0683426162878217,1,0.265154916928603,"PRESIDENTE MEDICI",21709,0.664,12068
"62","RO",1100254,"PFL",5389,0.405614933012193,2,-0.0683426162878217,0,NA,"PRESIDENTE MEDICI",21709,0.664,12068
"63","RO",1100254,"PT",1353,0.101836519644739,3,-0.372121029655276,0,NA,"PRESIDENTE MEDICI",21709,0.664,12068
"64","RO",1100254,"PPS",247,0.0185909980430528,4,-0.455366551256962,0,NA,"PRESIDENTE MEDICI",21709,0.664,12068
"65","RO",1100262,"PSDB",1350,0.67907444668008,1,0.358148893360161,1,NA,"RIO CRESPO",3374,0.643,21769
"66","RO",1100262,"PDT",638,0.32092555331992,2,-0.358148893360161,0,NA,"RIO CRESPO",3374,0.643,21769
"67","RO",1100288,"PFL",14851,0.695955761750785,1,0.39191152350157,1,NA,"ROLIM DE MOURA",51142,0.7,12155
"68","RO",1100288,"PTB",6488,0.304044238249215,2,-0.39191152350157,0,0.504678675955316,"ROLIM DE MOURA",51142,0.7,12155
"69","RO",1100296,"PSDB",2675,0.406473180367725,1,0.0407232943321684,1,0.383838383838384,"SANTA LUZIA D OESTE",8476,0.67,13205
"70","RO",1100296,"PFL",2407,0.365749886035557,2,-0.0407232943321684,0,NA,"SANTA LUZIA D OESTE",8476,0.67,13205
"71","RO",1100296,"PT",1499,0.227776933596718,3,-0.178696246771007,0,0.241927471435668,"SANTA LUZIA D OESTE",8476,0.67,13205
"72","RO",1100304,"PTB",15968,0.608954313172146,1,0.27965067500572,1,NA,"VILHENA",79616,0.731,18576
"73","RO",1100304,"PMDB",8635,0.329303638166425,2,-0.27965067500572,0,0.628774850381784,"VILHENA",79616,0.731,18576
"74","RO",1100304,"PFL",1415,0.0539623217145908,3,-0.554991991457555,0,NA,"VILHENA",79616,0.731,18576
"75","RO",1100304,"PC do B",204,0.00777972694683853,4,-0.601174586225307,0,NA,"VILHENA",79616,0.731,18576
"76","RO",1100320,"PT",3668,0.490177736202058,1,0.186155285313377,1,0.18732970027248,"SAO MIGUEL DO GUAPORE",21927,0.646,18017
"77","RO",1100320,"PFL",2275,0.304022450888681,2,-0.186155285313377,0,NA,"SAO MIGUEL DO GUAPORE",21927,0.646,18017
