UF,COD_MUN_IBGE,SIGLA_PARTIDO,QTDE_VOTOS_2000,vote_pct_2000,rank_2000,win_margin_2000,Incumbent_2000,vote_pct_2004
RO,1100015,PPB,5452,0.4094630116410064,1,0.023957942170484414,1,NA
RO,1100015,PTB,5133,0.385505069470522,2,-0.023957942170484414,0,NA
RO,1100015,PT,1655,0.12429590687194893,3,-0.2851671047690575,0,NA
RO,1100015,PMDB,1075,0.08073601201652272,4,-0.3287269996244837,0,NA
RO,1100023,PPB,16898,0.504432968148303,1,0.289232514403415,1,NA
RO,1100023,PTB,7209,0.21520045374488792,2,-0.289232514403415,0,0.43864074788544294
RO,1100023,PT,3581,0.10689871339442969,3,-0.3975342547538733,0,NA
RO,1100023,PPS,3392,0.10125675393295322,4,-0.40317621421534977,0,NA
RO,1100023,PFL,2419,0.07221111077942625,5,-0.4322218573688767,0,NA
RO,1100031,PFL,2176,0.549078980570275,1,0.2273530153923795,1,NA
RO,1100031,PDT,1275,0.32172596517789553,2,-0.2273530153923795,0,0.5297489082969432
RO,1100031,PT,512,0.12919505425182942,3,-0.4198839263184456,0,0.4702510917030568
RO,1100049,PMDB,16686,0.5203317949357615,1,0.26615317450417864,1,0.6072228812442335
RO,1100049,PT,8151,0.2541786204315829,2,-0.26615317450417864,0,NA
RO,1100049,PPS,7231,0.22548958463265562,3,-0.2948422103031059,0,NA
RO,1100056,PTB,2440,0.2388644150758688,1,0.030934899657366594,1,NA
RO,1100056,PDT,2124,0.20792951541850221,2,-0.030934899657366594,0,NA
RO,1100056,PT,1948,0.19069995105237397,3,-0.048164464023494835,0,NA
RO,1100056,PMDB,1764,0.1726872246696035,4,-0.0661771904062653,0,NA
RO,1100056,PFL,1440,0.14096916299559473,5,-0.09789525208027408,0,0.29483654139932786
RO,1100056,PL,499,0.04884973078805678,6,-0.19001468428781204,0,NA
RO,1100064,PDT,4179,0.3841698841698842,1,0.10856775142489428,1,NA
RO,1100064,PT,2998,0.2756021327449899,2,-0.10856775142489428,0,NA
RO,1100064,PPB,2203,0.20251884537598824,3,-0.18165103879389594,0,NA
RO,1100064,PSDB,1430,0.13145798860084573,4,-0.25271189556903845,0,NA
RO,1100064,PSB,68,0.006251149108291966,5,-0.37791873506159224,0,NA
RO,1100072,PMDB,2429,0.5864316755190729,1,0.17286335103814587,1,NA
RO,1100072,PT,1713,0.41356832448092706,2,-0.17286335103814587,0,0.27533747589457896
RO,1100080,PFL,2205,0.5329949238578681,1,0.06598984771573607,1,NA
RO,1100080,PPB,1932,0.467005076142132,2,-0.06598984771573607,0,NA
RO,1100098,PTB,4862,0.38422633159475267,1,0.0372214319582741,1,0.38021325415035767
RO,1100098,PT do B,4391,0.34700489963647857,2,-0.0372214319582741,0,NA
