COD_MUN_IBGE,NOME,UF,POP_201,IDHM_10,PIB_PER
1504703,MOJU,PA,72597,0.547,3894
1507953,TAILANDIA,PA,85468,0.588,5405
1500206,ACARA,PA,53787,0.506,4389
1508001,TOME ACU,PA,57914,0.586,4765
1501808,BREVES,PA,94779,0.503,3608
1502806,CURRALINHO,PA,29838,0.502,2270
1507706,SAO SEBASTIAO DA BOA VISTA,PA,23696,0.558,3116
1505205,OEIRAS DO PARA,PA,29402,0.507,3933
1504000,LIMOEIRO DO AJURU,PA,25846,0.541,3767
1504901,MUANA,PA,35524,0.547,2585
1505700,PONTA DE PEDRAS,PA,27103,0.562,3397
1502509,CHAVES,PA,21557,0.453,3676
1500701,ANAJAS,PA,25731,0.484,2748
1500305,AFUA,PA,35879,0.489,3249
1506401,SANTA CRUZ DO ARARI,PA,8593,0.557,3523
1502004,CACHOEIRA DO ARARI,PA,21147,0.546,3464
1502103,CAMETA,PA,124411,0.577,3129
1503309,IGARAPE MIRI,PA,58904,0.547,3048
1500107,ABAETETUBA,PA,144415,0.628,3788
1501303,BARCARENA,PA,105385,0.662,35573
1504422,MARITUBA,PA,113353,0.676,5850
1500800,ANANINDEUA,PA,483821,0.718,7779
1501501,BENEVIDES,PA,54083,0.665,11598
1506351,SANTA BARBARA DO PARA,PA,18012,0.627,3902
1501907,BUJARU,PA,26400,0.552,2923
2615409,TORITAMA,PE,37631,0.618,6236
1507904,SOURE,PA,23461,0.615,4046
1506302,SALVATERRA,PA,20948,0.608,4023
1503093,GOIANESIA DO PARA,PA,35299,0.56,4839
1502939,DOM ELISEU,PA,53100,0.615,5283
1505502,PARAGOMINAS,PA,101046,0.645,12633
1508126,ULIANOPOLIS,PA,46979,0.604,4751
2103174,CENTRO NOVO DO MARANHAO,MA,19947,0.518,6115
1503457,IPIXUNA DO PARA,PA,51569,0.489,6167
1504950,NOVA ESPERANCA DO PIRIA,PA,20350,0.502,3493
1501782,BREU BRANCO,PA,55521,0.568,9804
1500958,AURORA DO PARA,PA,27576,0.519,4754
2105427,ITINGA DO MARANHAO,MA,25125,0.63,8291
2102002,BOM JARDIM,MA,39740,0.538,4860
2106904,MONCAO,MA,31717,0.546,3471
2111029,SAO JOAO DO CARU,MA,15631,0.509,4907
1502301,CAPITAO POCO,PA,52214,0.548,3634
1503077,GARRAFAO DO NORTE,PA,25157,0.526,3625
1506559,SANTA LUZIA DO PARA,PA,19428,0.546,3406
1508308,VISEU,PA,57566,0.515,3287
1501956,CACHOEIRA DO PIRIA,PA,28153,0.473,2462
2105658,JUNCO DO MARANHAO,MA,3792,0.552,8893
2106326,MARACACUME,MA,19887,0.582,4288
1303601,SANTA ISABEL DO RIO NEGRO,AM,19292,0.479,4112
1300409,BARCELOS,AM,25948,0.5,3935
1100130,MACHADINHO D OESTE,RO,32403,0.596,10235
1301704,HUMAITA,AM,45954,0.605,5697
1100205,PORTO VELHO,RO,442701,0.736,17636
1304104,TAPAUA,AM,17903,0.502,5577
1302702,MANICORE,AM,48373,0.582,7732
1303304,NOVO ARIPUANA,AM,22106,0.554,4854
1300631,BERURI,AM,16158,0.506,6800
1300102,ANORI,AM,17072,0.561,4488
1300086,ANAMA,AM,10766,0.594,4968
1302504,MANACAPURU,AM,86985,0.614,7331
1200427,RODRIGUES ALVES,AC,15260,0.567,16376
1302900,MAUES,AM,54079,0.588,5306
1300144,APUI,AM,18633,0.637,8855
5103379,COTRIGUACU,MT,15912,0.601,10788
1300805,BORBA,AM,35919,0.56,4961
1301209,COARI,AM,77305,0.586,18133
1301308,CODAJAS,AM,24067,0.563,5673
1300839,CAAPIRANGA,AM,11303,0.569,5517
1303205,NOVO AIRAO,AM,15489,0.57,4750
1302553,MANAQUIRI,AM,24325,0.596,5359
1301852,IRANDUBA,AM,41947,0.613,7956
1301100,CAREIRO,AM,33517,0.557,4988
1301159,CAREIRO DA VARZEA,AM,24937,0.568,7184
1302603,MANAUS,AM,1861838,0.737,26961
1300300,AUTAZES,AM,33312,0.577,6254
1301902,ITACOATIARA,AM,89064,0.644,11005
1302009,ITAPIRANGA,AM,8348,0.654,6661
1304401,URUCURITUBA,AM,18679,0.588,4805
1303536,PRESIDENTE FIGUEIREDO,AM,28652,0.647,15808
1303569,RIO PRETO DA EVA,AM,26948,0.611,8653
1400472,RORAINOPOLIS,RR,25319,0.619,9308
1304302,URUCARA,AM,16902,0.62,6348
1400506,SAO JOAO DA BALIZA,RR,7023,0.655,9764
1400233,CAROEBE,RR,8480,0.639,10346
5105622,MIRASSOL D OESTE,MT,25684,0.704,15600
5103957,GLORIA D OESTE,MT,3101,0.71,12997
5102504,CACERES,MT,88897,0.708,10582
5106828,PORTO ESPERIDIAO,MT,11188,0.652,12247
5003207,CORUMBA,MS,104912,0.7,31306
