"COD_MUN_TSE","NUM_TURNO","SIGLA_PARTIDO","NOME_MUNICIPIO","DESCRICAO_CARGO","ANO_ELEICAO","COD_MUN_IBGE","UF","QTDE_VOTOS"
"00019","1","PDT","GUAJARA MIRIM","PREFEITO","2004","1100106","RO","4693"
"00019","1","PMDB","GUAJARA MIRIM","PREFEITO","2004","1100106","RO","5970"
"00019","1","PSDB","GUAJARA MIRIM","PREFEITO","2004","1100106","RO","4465"
"00019","1","PT","GUAJARA MIRIM","PREFEITO","2004","1100106","RO","3774"
"00035","1","PL","PORTO VELHO","PREFEITO","2004","1100205","RO","21707"
"00035","1","PMN","PORTO VELHO","PREFEITO","2004","1100205","RO","932"
"00035","1","PRONA","PORTO VELHO","PREFEITO","2004","1100205","RO","15295"
"00035","1","PSB","PORTO VELHO","PREFEITO","2004","1100205","RO","54611"
"00035","1","PSDB","PORTO VELHO","PREFEITO","2004","1100205","RO","27821"
"00035","1","PT","PORTO VELHO","PREFEITO","2004","1100205","RO","56716"
"00035","2","PSB","PORTO VELHO","PREFEITO","2004","1100205","RO","76557"
"00035","2","PT","PORTO VELHO","PREFEITO","2004","1100205","RO","90985"
"00051","1","PFL","JI PARANA","PREFEITO","2004","1100122","RO","19263"
"00051","1","PMDB","JI PARANA","PREFEITO","2004","1100122","RO","4309"
"00051","1","PMN","JI PARANA","PREFEITO","2004","1100122","RO","12198"
"00051","1","PSDB","JI PARANA","PREFEITO","2004","1100122","RO","16398"
"00051","1","PT","JI PARANA","PREFEITO","2004","1100122","RO","2083"
"00078","1","PMDB","ARIQUEMES","PREFEITO","2004","1100023","RO","20097"
"00078","1","PTB","ARIQUEMES","PREFEITO","2004","1100023","RO","17736"
"00078","1","PV","ARIQUEMES","PREFEITO","2004","1100023","RO","2601"
"00094","1","PMDB","CACOAL","PREFEITO","2004","1100049","RO","23035"
"00094","1","PTB","CACOAL","PREFEITO","2004","1100049","RO","14900"
"00116","1","PL","PIMENTA BUENO","PREFEITO","2004","1100189","RO","1660"
"00116","1","PMDB","PIMENTA BUENO","PREFEITO","2004","1100189","RO","7525"
"00116","1","PP","PIMENTA BUENO","PREFEITO","2004","1100189","RO","6767"
"00116","1","PT","PIMENTA BUENO","PREFEITO","2004","1100189","RO","1159"
"00132","1","PDT","VILHENA","PREFEITO","2004","1100304","RO","5836"
"00132","1","PMDB","VILHENA","PREFEITO","2004","1100304","RO","18281"
"00132","1","PMN","VILHENA","PREFEITO","2004","1100304","RO","565"
"00132","1","PSDB","VILHENA","PREFEITO","2004","1100304","RO","4392"
"00159","1","PMDB","JARU","PREFEITO","2004","1100114","RO","13625"
"00159","1","PSDB","JARU","PREFEITO","2004","1100114","RO","12129"
"00159","1","PT","JARU","PREFEITO","2004","1100114","RO","2721"
"00175","1","PMDB","OURO PRETO DO OESTE","PREFEITO","2004","1100155","RO","5428"
"00175","1","PMN","OURO PRETO DO OESTE","PREFEITO","2004","1100155","RO","9560"
"00175","1","PT","OURO PRETO DO OESTE","PREFEITO","2004","1100155","RO","6392"
"00191","1","PHS","PRESIDENTE MEDICI","PREFEITO","2004","1100254","RO","211"
"00191","1","PMDB","PRESIDENTE MEDICI","PREFEITO","2004","1100254","RO","3543"
"00191","1","PSDB","PRESIDENTE MEDICI","PREFEITO","2004","1100254","RO","9608"
"00213","1","PMDB","COSTA MARQUES","PREFEITO","2004","1100080","RO","2576"
"00213","1","PP","COSTA MARQUES","PREFEITO","2004","1100080","RO","1439"
"00213","1","PT","COSTA MARQUES","PREFEITO","2004","1100080","RO","1325"
"00230","1","PMDB","COLORADO DO OESTE","PREFEITO","2004","1100064","RO","3859"
"00230","1","PTB","COLORADO DO OESTE","PREFEITO","2004","1100064","RO","6741"
"00256","1","PRP","ESPIGAO D'OESTE","PREFEITO","2004","1100098","RO","5402"
"00256","1","PT","ESPIGAO D'OESTE","PREFEITO","2004","1100098","RO","3782"
"00256","1","PTB","ESPIGAO D'OESTE","PREFEITO","2004","1100098","RO","5634"
"00272","1","PFL","CEREJEIRAS","PREFEITO","2004","1100056","RO","2895"
"00272","1","PSDB","CEREJEIRAS","PREFEITO","2004","1100056","RO","6924"
"00299","1","PMDB","ROLIM DE MOURA","PREFEITO","2004","1100288","RO","4111"
"00299","1","PPS","ROLIM DE MOURA","PREFEITO","2004","1100288","RO","1086"
"00299","1","PTB","ROLIM DE MOURA","PREFEITO","2004","1100288","RO","12243"
"00299","1","PTN","ROLIM DE MOURA","PREFEITO","2004","1100288","RO","6819"
"00310","1","PDT","ALTA FLORESTA DO OESTE","PREFEITO","2004","1100015","RO","7054"
"00310","1","PSDB","ALTA FLORESTA DO OESTE","PREFEITO","2004","1100015","RO","6431"
"00337","1","PFL","ALVORADA DO OESTE","PREFEITO","2004","1100346","RO","340"
"00337","1","PSDB","ALVORADA DO OESTE","PREFEITO","2004","1100346","RO","5598"
"00337","1","PT","ALVORADA DO OESTE","PREFEITO","2004","1100346","RO","3442"
"00353","1","PDT","SANTA LUZIA DO OESTE","PREFEITO","2004","1100296","RO","1076"
"00353","1","PSDB","SANTA LUZIA DO OESTE","PREFEITO","2004","1100296","RO","2318"
"00353","1","PSL","SANTA LUZIA DO OESTE","PREFEITO","2004","1100296","RO","1184"
"00353","1","PT","SANTA LUZIA DO OESTE","PREFEITO","2004","1100296","RO","1461"
"00370","1","PSB","NOVA BRASILANDIA","PREFEITO","2004","1100148","RO","5313"
"00370","1","PTB","NOVA BRASILANDIA","PREFEITO","2004","1100148","RO","5084"
"00396","1","PL","MACHADINHO DO OESTE","PREFEITO","2004","1100130","RO","2691"
"00396","1","PTB","MACHADINHO DO OESTE","PREFEITO","2004","1100130","RO","10187"
"00418","1","PSDB","SAO MIGUEL DO GUAPORE","PREFEITO","2004","1100320","RO","3483"
"00418","1","PT","SAO MIGUEL DO GUAPORE","PREFEITO","2004","1100320","RO","1650"
"00418","1","PTB","SAO MIGUEL DO GUAPORE","PREFEITO","2004","1100320","RO","3675"
"00434","1","PFL","NOVA MAMORE","PREFEITO","2004","1100338","RO","2303"
"00434","1","PPS","NOVA MAMORE","PREFEITO","2004","1100338","RO","5878"
"00450","1","PDT","CABIXI","PREFEITO","2004","1100031","RO","1941"
"00450","1","PT","CABIXI","PREFEITO","2004","1100031","RO","1723"
"00477","1","PDT","CANDEIAS DO JAMARI","PREFEITO","2004","1100809","RO","3336"
"00477","1","PL","CANDEIAS DO JAMARI","PREFEITO","2004","1100809","RO","1508"
"00477","1","PMDB","CANDEIAS DO JAMARI","PREFEITO","2004","1100809","RO","797"
"00477","1","PSDB","CANDEIAS DO JAMARI","PREFEITO","2004","1100809","RO","2120"
"00477","1","PT","CANDEIAS DO JAMARI","PREFEITO","2004","1100809","RO","297"
"00493","1","PFL","ITAPUA DO OESTE","PREFEITO","2004","1101104","RO","1763"
"00493","1","PMDB","ITAPUA DO OESTE","PREFEITO","2004","1101104","RO","949"
"00493","1","PP","ITAPUA DO OESTE","PREFEITO","2004","1101104","RO","743"
"00493","1","PSB","ITAPUA DO OESTE","PREFEITO","2004","1101104","RO","300"
"00515","1","PSDB","NOVO HORIZONTE DO OESTE","PREFEITO","2004","1100502","RO","3361"
"00515","1","PSDC","NOVO HORIZONTE DO OESTE","PREFEITO","2004","1100502","RO","2821"
"00531","1","PDT","CASTANHEIRAS","PREFEITO","2004","1100908","RO","340"
"00531","1","PSB","CASTANHEIRAS","PREFEITO","2004","1100908","RO","1034"
"00531","1","PTB","CASTANHEIRAS","PREFEITO","2004","1100908","RO","1202"
"00558","1","PFL","VALE DO PARAISO","PREFEITO","2004","1101807","RO","2502"
"00558","1","PSDC","VALE DO PARAISO","PREFEITO","2004","1101807","RO","2727"
"00566","1","PFL","URUPA","PREFEITO","2004","1101708","RO","3716"
"00566","1","PMDB","URUPA","PREFEITO","2004","1101708","RO","1486"
"00566","1","PT","URUPA","PREFEITO","2004","1101708","RO","1533"
"00574","1","PMDB","MIRANTE DA SERRA","PREFEITO","2004","1101302","RO","2426"
"00574","1","PSDB","MIRANTE DA SERRA","PREFEITO","2004","1101302","RO","2801"
"00574","1","PT","MIRANTE DA SERRA","PREFEITO","2004","1101302","RO","1935"
"00582","1","PDT","SERINGUEIRAS","PREFEITO","2004","1101500","RO","631"
"00582","1","PPS","SERINGUEIRAS","PREFEITO","2004","1101500","RO","492"
"00582","1","PRP","SERINGUEIRAS","PREFEITO","2004","1101500","RO","356"
"00582","1","PSB","SERINGUEIRAS","PREFEITO","2004","1101500","RO","1360"
"00582","1","PSDB","SERINGUEIRAS","PREFEITO","2004","1101500","RO","1450"
"00582","1","PTB","SERINGUEIRAS","PREFEITO","2004","1101500","RO","1840"
"00590","1","PMDB","THEOBROMA","PREFEITO","2004","1101609","RO","2594"
"00590","1","PSDB","THEOBROMA","PREFEITO","2004","1101609","RO","1825"
"00590","1","PTB","THEOBROMA","PREFEITO","2004","1101609","RO","1661"
"00604","1","PT","MINISTRO ANDREAZZA","PREFEITO","2004","1101203","RO","2724"
"00604","1","PTB","MINISTRO ANDREAZZA","PREFEITO","2004","1101203","RO","2338"
"00612","1","PSDB","GOVERNADOR JORGE TEIXEIRA","PREFEITO","2004","1101005","RO","2203"
"00612","1","PT","GOVERNADOR JORGE TEIXEIRA","PREFEITO","2004","1101005","RO","1596"
"00612","1","PTB","GOVERNADOR JORGE TEIXEIRA","PREFEITO","2004","1101005","RO","3211"
"00620","1","PFL","CACAULANDIA","PREFEITO","2004","1100601","RO","2053"
"00620","1","PSDB","CACAULANDIA","PREFEITO","2004","1100601","RO","1397"
"00639","1","PDT","ALTO PARAISO","PREFEITO","2004","1100403","RO","2941"
"00639","1","PFL","ALTO PARAISO","PREFEITO","2004","1100403","RO","225"
"00639","1","PSDB","ALTO PARAISO","PREFEITO","2004","1100403","RO","4237"
"00647","1","PL","RIO CRESPO","PREFEITO","2004","1100262","RO","482"
"00647","1","PT","RIO CRESPO","PREFEITO","2004","1100262","RO","238"
"00647","1","PV","RIO CRESPO","PREFEITO","2004","1100262","RO","899"
"00655","1","PRP","CORUMBIARA","PREFEITO","2004","1100072","RO","437"
"00655","1","PSB","CORUMBIARA","PREFEITO","2004","1100072","RO","24"
"00655","1","PSDB","CORUMBIARA","PREFEITO","2004","1100072","RO","652"
"00655","1","PT","CORUMBIARA","PREFEITO","2004","1100072","RO","1285"
"00655","1","PTB","CORUMBIARA","PREFEITO","2004","1100072","RO","2269"
"00663","1","PMDB","MONTE NEGRO","PREFEITO","2004","1101401","RO","3584"
"00663","1","PSDB","MONTE NEGRO","PREFEITO","2004","1101401","RO","4004"
"00671","1","PDT","CAMPO NOVO DE RONDONIA","PREFEITO","2004","1100700","RO","206"
"00671","1","PMDB","CAMPO NOVO DE RONDONIA","PREFEITO","2004","1100700","RO","1328"
"00671","1","PSB","CAMPO NOVO DE RONDONIA","PREFEITO","2004","1100700","RO","1023"
"00671","1","PSDB","CAMPO NOVO DE RONDONIA","PREFEITO","2004","1100700","RO","2294"
"00671","1","PV","CAMPO NOVO DE RONDONIA","PREFEITO","2004","1100700","RO","31"
"00680","1","PMDB","CUJUBIM","PREFEITO","2004","1100940","RO","1660"
"00680","1","PPS","CUJUBIM","PREFEITO","2004","1100940","RO","945"
"00680","1","PT","CUJUBIM","PREFEITO","2004","1100940","RO","2303"
"00698","1","PP","VALE DO ANARI","PREFEITO","2004","1101757","RO","171"
"00698","1","PSDB","VALE DO ANARI","PREFEITO","2004","1101757","RO","1941"
"00698","1","PT","VALE DO ANARI","PREFEITO","2004","1101757","RO","2056"
"00701","1","PFL","PARECIS","PREFEITO","2004","1101450","RO","1230"
